,Weekday,Month,DateDelta,Zip,Latitude,Longitude,air,precip,ppsf_doll,ppsf_doll_pred,Date,Year
7492,0.43388373911755823,-0.866025403784439,1338.0,32750,28.75,278.75,24.69213000000002,0.99,103.0,112.5,2015-10-01,2015
2418,-0.9749279121818236,0.8660254037844386,2922.0,10562,41.25,286.25,2.349700000000041,2.52,232.0,227.0,2020-02-01,2020
20129,0.7818314824680298,-2.4492935982947064e-16,3226.0,95843,38.75,238.75,9.473320000000001,0.96,248.0,246.9,2020-12-01,2020
13666,-0.7818314824680299,0.8660254037844387,60.0,61350,41.25,271.25,11.686820000000012,2.01,77.0,66.8,2012-04-01,2012
19707,0.7818314824680298,0.49999999999999994,2526.0,95663,38.75,238.75,10.400779999999997,3.98,240.0,282.7,2019-01-01,2019
10641,-0.9749279121818236,1.2246467991473532e-16,486.0,44202,41.25,278.75,19.464140000000043,4.87,103.0,90.9,2013-06-01,2013
15748,0.0,-0.4999999999999997,2707.0,68130,41.25,263.75,25.422020000000032,2.19,114.0,109.6,2019-07-01,2019
6667,-0.433883739117558,1.0,394.0,32708,28.75,278.75,15.620400000000018,0.73,90.0,92.6,2013-03-01,2013
12866,0.0,1.0,3316.0,53963,43.75,271.25,3.5806500000000483,0.94,105.0,96.5,2021-03-01,2021
14393,0.9749279121818236,1.0,1855.0,63383,38.75,268.75,9.769980000000032,2.77,105.0,91.3,2017-03-01,2017
20135,-0.433883739117558,0.49999999999999994,3257.0,95630,38.75,238.75,9.978270000000009,1.98,302.0,300.3,2021-01-01,2021
19908,-0.7818314824680299,-2.4492935982947064e-16,2860.0,95746,38.75,238.75,10.29006000000004,3.12,292.0,297.4,2019-12-01,2019
8406,-0.9749279121818236,-1.0,2404.0,32773,28.75,278.75,28.45297000000005,2.44,129.0,129.5,2018-09-01,2018
18761,-0.433883739117558,-0.8660254037844385,912.0,95843,38.75,238.75,25.07916,0.18,159.0,149.2,2014-08-01,2014
18557,-0.7818314824680299,-1.0,578.0,95678,38.75,238.75,22.618740000000003,0.32,172.0,180.9,2013-09-01,2013
6038,-0.433883739117558,-0.4999999999999997,1612.0,30025,33.75,276.25,28.399069999999995,2.17,83.0,81.9,2016-07-01,2016
14807,-0.433883739117558,1.2246467991473532e-16,121.0,68007,41.25,263.75,23.65127000000001,2.61,87.0,89.6,2012-06-01,2012
14984,0.7818314824680298,-0.866025403784439,608.0,68022,41.25,263.75,11.423969999999997,3.04,103.0,105.7,2013-10-01,2013
13877,0.43388373911755823,-0.866025403784439,1338.0,61364,41.25,271.25,13.03588000000002,1.15,48.0,47.6,2015-10-01,2015
14902,-0.433883739117558,0.8660254037844386,366.0,68135,41.25,263.75,-1.6075199999999654,0.43,81.0,85.9,2013-02-01,2013
14182,-0.7818314824680299,-0.5000000000000004,3196.0,61364,41.25,271.25,7.832940000000008,1.79,60.0,54.7,2020-11-01,2020
18797,0.9749279121818236,-0.866025403784439,973.0,95843,38.75,238.75,20.19747000000001,0.4,156.0,149.2,2014-10-01,2014
2117,-0.433883739117558,0.8660254037844386,2557.0,10549,41.25,286.25,0.46365000000002965,2.52,255.0,238.7,2019-02-01,2019
10691,-0.9749279121818236,0.8660254037844386,731.0,44240,41.25,278.75,-6.000279999999975,1.65,73.0,84.9,2014-02-01,2014
11158,-0.9749279121818236,-0.8660254037844385,3104.0,44234,41.25,278.75,21.44106000000005,3.43,125.0,140.3,2020-08-01,2020
13534,0.7818314824680298,-1.0,3135.0,56450,46.25,266.25,12.87444000000005,1.13,124.0,125.9,2020-09-01,2020
5742,0.9749279121818236,-0.4999999999999997,3073.0,29566,33.75,281.25,28.200620000000015,2.55,129.0,126.8,2020-07-01,2020
13380,0.0,1.2246467991473532e-16,3043.0,55947,43.75,268.75,21.407219999999995,5.04,138.0,133.6,2020-06-01,2020
14105,0.43388373911755823,-0.8660254037844385,2738.0,61341,41.25,271.25,22.169730000000015,2.43,85.0,89.5,2019-08-01,2019
15067,0.43388373911755823,0.5000000000000003,820.0,68135,41.25,263.75,17.264250000000004,2.49,94.0,95.2,2014-05-01,2014
2478,-0.433883739117558,0.5000000000000003,3012.0,10506,41.25,286.25,14.47048000000001,1.41,238.0,259.1,2020-05-01,2020
18214,0.9749279121818236,0.8660254037844386,0.0,95677,38.75,238.75,10.76275000000004,0.34,122.0,121.5,2012-02-01,2012
14556,-0.9749279121818236,-1.0,213.0,64093,38.75,266.25,20.157460000000015,2.57,80.0,76.9,2012-09-01,2012
8356,0.9749279121818236,-0.8660254037844385,2373.0,32707,28.75,278.75,28.12710000000004,5.04,139.0,141.4,2018-08-01,2018
7571,-0.433883739117558,0.49999999999999994,1430.0,32751,28.75,278.75,14.874600000000044,3.77,127.0,128.7,2016-01-01,2016
8433,0.43388373911755823,-0.5000000000000004,2465.0,32701,28.75,278.75,20.453300000000013,1.32,128.0,129.8,2018-11-01,2018
2426,-0.7818314824680299,1.0,2951.0,10504,41.25,286.25,6.740750000000048,2.85,278.0,296.0,2020-03-01,2020
3667,-0.433883739117558,-0.8660254037844385,912.0,21663,38.75,283.75,23.45416,3.38,209.0,209.2,2014-08-01,2014
5770,0.43388373911755823,0.8660254037844387,3347.0,29572,33.75,281.25,17.366240000000005,0.83,195.0,186.9,2021-04-01,2021
18585,-0.433883739117558,-0.5000000000000004,639.0,95621,38.75,238.75,13.138500000000022,0.69,144.0,154.6,2013-11-01,2013
18019,0.9749279121818236,0.8660254037844387,2982.0,92236,33.75,243.75,16.03830000000005,1.88,164.0,172.9,2020-04-01,2020
20103,-0.7818314824680299,-0.5000000000000004,3196.0,95663,38.75,238.75,12.332940000000008,0.4,375.0,318.5,2020-11-01,2020
8770,-0.433883739117558,-0.5000000000000004,2830.0,32773,28.75,278.75,19.38240000000002,1.1,138.0,133.3,2019-11-01,2019
18792,0.9749279121818236,-0.866025403784439,973.0,95746,38.75,238.75,20.19747000000001,0.4,229.0,227.9,2014-10-01,2014
19357,0.43388373911755823,1.2246467991473532e-16,1947.0,95609,38.75,238.75,24.245750000000044,0.06,181.0,217.6,2017-06-01,2017
10701,0.7818314824680298,0.8660254037844387,790.0,44202,41.25,278.75,9.793150000000026,4.17,98.0,96.1,2014-04-01,2014
7334,0.9749279121818236,0.8660254037844387,1155.0,32730,28.75,278.75,24.955070000000035,3.1,80.0,83.3,2015-04-01,2015
12206,0.43388373911755823,0.8660254037844387,3347.0,50210,41.25,266.25,10.741240000000005,0.81,134.0,111.0,2021-04-01,2021
15181,0.9749279121818236,0.8660254037844387,1155.0,68007,41.25,263.75,11.892570000000035,2.35,105.0,109.0,2015-04-01,2015
8565,0.0,0.8660254037844387,2616.0,32708,28.75,278.75,22.516140000000007,2.14,151.0,149.6,2019-04-01,2019
8324,-0.433883739117558,1.2246467991473532e-16,2312.0,32750,28.75,278.75,27.732140000000015,4.63,142.0,152.6,2018-06-01,2018
10393,0.43388373911755823,1.0,2220.0,37721,36.25,276.25,8.652250000000038,3.88,112.0,103.9,2018-03-01,2018
17165,-0.433883739117558,-1.0,2039.0,83703,43.75,243.75,16.71407000000005,0.66,166.0,164.1,2017-09-01,2017
13391,0.7818314824680298,-1.0,3135.0,54601,43.75,268.75,15.87444000000005,3.19,119.0,116.6,2020-09-01,2020
19716,-0.433883739117558,0.8660254037844386,2557.0,95608,38.75,238.75,8.77615000000003,7.24,228.0,231.7,2019-02-01,2019
19598,-0.7818314824680299,-0.4999999999999997,2342.0,95662,38.75,238.75,26.045680000000004,0.2,256.0,252.2,2018-07-01,2018
13660,0.43388373911755823,1.0,29.0,61341,41.25,271.25,12.45016000000004,1.35,62.0,55.9,2012-03-01,2012
11055,-0.433883739117558,1.0,2585.0,44202,41.25,278.75,1.457270000000051,2.43,127.0,127.9,2019-03-01,2019
2504,0.0,1.2246467991473532e-16,3043.0,10507,41.25,286.25,21.313469999999995,1.68,287.0,262.4,2020-06-01,2020
16824,-0.9749279121818236,-2.4492935982947064e-16,304.0,83704,43.75,243.75,1.3887000000000285,1.13,80.0,95.8,2012-12-01,2012
19749,-0.433883739117558,1.0,2585.0,95841,38.75,238.75,12.551020000000051,2.78,202.0,203.1,2019-03-01,2019
18513,0.0,-0.4999999999999997,516.0,95621,38.75,238.75,25.40112000000005,0.03,139.0,147.7,2013-07-01,2013
13071,-0.433883739117558,0.5000000000000003,1185.0,54601,43.75,268.75,15.409000000000049,3.88,91.0,88.8,2015-05-01,2015
17370,0.9749279121818236,-0.4999999999999997,3073.0,83704,43.75,243.75,22.356870000000015,0.08,190.0,190.0,2020-07-01,2020
1766,-0.433883739117558,-2.4492935982947064e-16,2130.0,10547,41.25,286.25,-0.3250799999999572,1.1,209.0,215.8,2017-12-01,2017
15469,0.43388373911755823,1.2246467991473532e-16,1947.0,68064,41.25,263.75,23.214500000000044,2.84,101.0,114.4,2017-06-01,2017
15798,-0.7818314824680299,-2.4492935982947064e-16,2860.0,68022,41.25,263.75,0.04006000000003951,0.83,134.0,133.8,2019-12-01,2019
5513,-0.9749279121818236,0.8660254037844386,731.0,29582,33.75,281.25,9.655970000000025,2.22,140.0,139.7,2014-02-01,2014
16178,0.43388373911755823,0.5000000000000003,820.0,74063,36.25,263.75,20.826750000000004,2.04,78.0,76.7,2014-05-01,2014
19308,0.9749279121818236,1.0,1855.0,95650,38.75,238.75,14.332480000000032,1.81,257.0,260.5,2017-03-01,2017
14554,0.9749279121818236,-0.8660254037844385,182.0,64093,38.75,266.25,25.306420000000003,2.14,80.0,76.1,2012-08-01,2012
16835,-0.433883739117558,0.8660254037844386,366.0,83703,43.75,243.75,1.6737300000000346,0.6,105.0,99.6,2013-02-01,2013
6900,-0.7818314824680299,-2.4492935982947064e-16,669.0,32707,28.75,278.75,19.364980000000003,1.17,87.0,88.5,2013-12-01,2013
15885,-0.9749279121818236,-0.8660254037844385,3104.0,68007,41.25,263.75,23.87856000000005,1.08,136.0,146.4,2020-08-01,2020
5849,0.9749279121818236,0.5000000000000003,455.0,30054,33.75,276.25,19.899699999999996,3.85,51.0,61.3,2013-05-01,2013
