,Year,ppsf_doll_pred,Latitude,Longitude,air
13241,2018,104.05980181206333,43.75,268.75,7.470086111111141
9633,2014,96.69077015330231,36.25,273.75,10.167577500000032
14185,2020,99.73978774164199,41.25,271.25,8.030837222222232
2581,2020,265.52483425825534,41.25,286.25,15.146678222222247
4414,2020,286.97180923807247,38.75,283.75,16.851321666666696
13092,2015,77.89710917689183,43.75,268.75,12.780152222222263
18589,2013,172.08560739193229,38.75,238.75,17.289176666666688
12674,2018,87.5318648450352,43.75,271.25,12.921856111111142
18948,2015,199.52025238818632,38.75,238.75,20.471387812500016
2769,2021,273.613348613864,41.25,286.25,4.086008636363664
6711,2013,88.78040293856924,28.75,278.75,23.727921183333347
17224,2018,186.98556967480627,43.75,243.75,12.93122312500002
17757,2016,179.93126580481152,33.75,243.75,18.25336726666668
10848,2016,95.05348039324572,41.25,278.75,10.113795666666686
15539,2017,117.00082641833137,41.25,263.75,8.252896571428602
5918,2014,66.2926085634476,33.75,276.25,15.44645875000002
19306,2017,210.96904816894045,38.75,238.75,18.641554523809557
5053,2014,60.3357283193146,36.25,278.75,5.083920000000035
7572,2016,115.16865065166449,28.75,278.75,23.665953106060627
15748,2019,133.22277800880815,41.25,263.75,8.25592753333336
14735,2020,116.53396392647123,38.75,266.25,14.655731666666693
19888,2019,235.61637214653805,38.75,238.75,17.261433974359008
10431,2018,106.14612471892453,36.25,276.25,5.648300000000006
1641,2017,247.82172144323204,41.25,286.25,13.466808541666701
15401,2016,105.94011702736945,41.25,263.75,10.199209375000027
11155,2020,125.41193560651116,41.25,278.75,10.683130833333355
7309,2015,107.40482081995927,28.75,278.75,24.21558951851854
14718,2019,108.03088950171926,38.75,266.25,19.197666666666684
15629,2018,124.78722434724784,41.25,263.75,14.132489833333372
11193,2021,134.17333623734558,41.25,278.75,-1.0931409999999573
15824,2020,140.78543191718373,41.25,263.75,11.65468833333335
14768,2012,66.13749565713756,41.25,263.75,17.299075611111125
17791,2017,187.24836067761277,33.75,243.75,18.020271333333362
2374,2019,264.3380777023097,41.25,286.25,10.866606923076954
17418,2021,204.61197683156036,43.75,243.75,6.535400000000043
17173,2017,171.18351398941485,43.75,243.75,6.192085666666705
5701,2019,163.4351699599934,33.75,281.25,19.171763333333374
20160,2021,245.5116437453596,38.75,238.75,13.516679166666696
7936,2017,127.24686120576868,28.75,278.75,21.410696296296326
13177,2017,94.76730794009859,43.75,268.75,9.715849111111144
9818,2017,128.05954908728665,36.25,273.75,19.463776666666703
4628,2014,89.07218823335309,36.25,281.25,17.68082000000001
6611,2012,78.89930537367775,28.75,278.75,24.11746729166669
14030,2018,82.65117948461938,41.25,271.25,13.948266666666703
9032,2020,155.9628370714314,28.75,278.75,21.980187592592603
9225,2012,27.00719725239746,33.75,273.75,25.618920000000003
19212,2016,205.61025213159584,38.75,238.75,15.506633452380981
15195,2015,97.0188457157636,41.25,263.75,14.740497433333354
18194,2020,210.27661986622007,36.25,238.75,15.679300000000012
18645,2014,190.28158724582696,38.75,238.75,17.533401764705904
